number,created_at,title,author,state,merged,merged_at,reclosed_after_auto_reopen,outcome_after_reopen,html_url
3221,2026-04-15T11:59:24Z,fix(ai): treat gcp vertex marker as ADC auth,deepkilo,closed,yes,2026-04-15T14:20:45Z,yes,merged,https://github.com/earendil-works/pi/pull/3221
3272,2026-04-16T12:19:08Z,Restore full state when cycling through presets for none preset,stembi,closed,yes,2026-04-16T18:38:31Z,yes,merged,https://github.com/earendil-works/pi/pull/3272
3350,2026-04-17T16:10:23Z,fix(coding-agent): expand positive manifest globs before loading package skills,neonspectra,closed,yes,2026-04-18T11:16:40Z,yes,merged,https://github.com/earendil-works/pi/pull/3350
3412,2026-04-19T08:39:31Z,fix(provider): strip json schema meta keys for cloud code assist,vladlearns,closed,yes,2026-04-19T14:54:49Z,yes,merged,https://github.com/earendil-works/pi/pull/3412
3527,2026-04-22T03:14:31Z,fix(bedrock): check model.name for prompt caching and adaptive thinking,anirudhmarc,closed,yes,2026-04-25T17:58:18Z,yes,merged,https://github.com/earendil-works/pi/pull/3527
3532,2026-04-22T06:45:36Z,fix(coding-agent): sanitize markdown links in exported session HTML,samfoy,closed,yes,2026-04-22T08:53:04Z,yes,merged,https://github.com/earendil-works/pi/pull/3532
3650,2026-04-24T12:10:41Z,fix(ai): omit tools field instead of sending empty array (fixes #3649),HQidea,closed,yes,2026-04-24T12:24:32Z,yes,merged,https://github.com/earendil-works/pi/pull/3650
3740,2026-04-26T07:33:26Z,"doc(README): update ""quick start""",Yvem,closed,yes,2026-04-28T06:48:22Z,yes,merged,https://github.com/earendil-works/pi/pull/3740
3795,2026-04-27T10:51:17Z,Properly track fromId in branch_summary events,CGamesPlay,open,no,,no,open,https://github.com/earendil-works/pi/pull/3795
3812,2026-04-27T14:34:50Z,docs: render logo in black on light-mode READMEs,julien-c,closed,yes,2026-04-30T08:18:23Z,yes,merged,https://github.com/earendil-works/pi/pull/3812
3851,2026-04-27T20:31:24Z,feat(ai): add Cloudflare Workers AI as a provider,mchenco,closed,yes,2026-04-27T21:41:55Z,yes,merged,https://github.com/earendil-works/pi/pull/3851
3868,2026-04-28T06:14:59Z,refactor(coding-agent): migrate syntax highlighting to Shiki,mattleong,closed,no,,yes,closed_unmerged,https://github.com/earendil-works/pi/pull/3868
3968,2026-04-29T15:52:44Z,feat(ai): expose routed model on openai-completions,purrgrammer,closed,yes,2026-04-29T22:16:12Z,yes,merged,https://github.com/earendil-works/pi/pull/3968
